3816532.327	כרם שלום				
					
					
					
3820441.05	יבול				
3820557.469					
3821110.966	חולית				
3821244.525	יתד				
3822154.497					
3822306.656	שדי אברהם				
3822957.55	סופה				
3823573.946	דקל				
3824477.32	פרי גן				
3824652.084					
3824665.306	ניר יצחק				
3825062.272	תלמי יוסף				
3828960.452	נירים				
3829128.878	ניצני סיני				
3829416.459	כיסופים				
3829555.967	עין השלושה				
3829611.704	ניר עוז				
3829640.201	ישע				
3830336.049	מבטחים				
3830889.244	עמיעוז				
3830997.91					
3831562.488	שדה ניצן				
3832015.976	צוחר				
3832627.751	מגן				
3832657.488	תלמי אליהו				
3832902.663	כמהין				
3832957.112	אוהד				
3834885.74	עין הבשור				
3836117.316	רעים				
3836717.814	גבולות				
3839367.053	דוגית				
3839571.618	בארי				
3840265.003	נחל עוז				
3840776.464					
3840916.542	אלי סיני				
3842008.923	עלומים				
3842941.746	זיקים				
3843169.945	אורים				
3843234.076	שוקדה				
3844014.067	ניסנית				
3844193.762	כפר עזה				
3844399.755	צאלים				
3844453.843	סעד				
3845053.305	תושייה				
3845090.009	נתיב העשרה				
3845216.209	כרמייה				
3845451.031	שובה				
3845487.863	כפר מימון				
3846384.739	זמרת				
3846980.372	יד מרדכי				
3847136.155	פטיש				
3847550.252	מפלסים				
3847953.256	ארז				
3848370.217	אשקלון				
3848592.856	יזרעם				
3848792.735	מבקיעים				
3849474.411	תקומה				
3850058.766	ניר עם				
3850354.409	נתיבות				
3850413.616	מסלול				
3850647.612	גבעולים				
3851192.89	מלילות				
3851403.454	שדרות				
3851468.256	גבים				
3851508.3	מעגלים				
3851654.771	יכיני				
3851768.546	רנן				
3851852.812	אור הנר				
3852044.599	גיאה				
3852060.546	שרשרת				
3852409.454	בית הגדי				
3852502.984	שיבולים				
3852604.663	בית שקמה				
3852683.476	יושיביה				
3852973.229	פדויים				
3853092.103	גברעם				
3853587.322	תלמי יפה				
3854060.609	אופקים				
3854326.648	משען				
3854373.078	זרועה				
3854520.651	ברכיה				
3854665.974	תדהר				
3854955.413	ניצן				
3855155.195	ניר משה				
3855199.619	ברוש				
3855227.698	בטחה				
3855611.279	ניצנים				
3855674.083	ניר ישראל				
3855772.648					
3856289.753	הודייה				
3856523.602	תאשור				
3856691.387	ברור חיל				
3856775.684	"תלמי ביל""ו"				
3856780.465	דורות				
3856853.654	ניר עקיבא				
3856939.952	אשדוד				
3857603.18	גילת				
3857672.201	מבועים				
3857831.478	בית עזרא				
3858097.413	חלץ				
3859125.995	אשבול				
3859309.057	כוכב מיכאל				
3859537.743	עזר				
3859734.988	תלמים				
3860105.832	אמונים				
3860169.479	שדה עוזיהו				
3860225.616	תפרח				
3860292.531	קלחים				
3860542.007	גבעתי				
3860545.471	ניר גלים				
3860722.707	שדה יואב				
3860889.186	נגבה				
3860935.087	שדה דוד				
3860995.368	שתולים				
3861637.241	רתמים				
3861793.087	משואות יצחק				
3861954.606	זוהר				
3861968.154	בני דרום				
3862037.626	"פעמי תש""ז"				
3862103.44	נוגה				
3862479.835	עזריקם				
3862482.592					
3862885.704	גן הדרום				
3863276.036	עוצם				
3863312.551	יד נתן				
3863344.623	רוחמה				
3863363.803	נהורה				
3863543.865	חצרים				
3863566.467	אשלים				
3863603.2	פלמחים				
3863701.868	מרכז שפירא				
3863865.922	גן יבנה				
3864102.579	שדה צבי				
3864417.617	"ניר ח""ן"				
3864858.023	עין צורים				
3864896.413	משמר הנגב				
3864987.306	קבוצת יבנה				
3864998.933	באר טוביה				
3865061.184	חצור-אשדוד				
3865126.17	כפר אביב				
3865159.346	רביבים				
3865194.315	כרם יבנה (ישיבה)				
3865621.564	כפר ורבורג				
3865673.383	שחר				
3866005.008	בן זכאי				
3866039.926	שפיר				
3866053.89	בית רבן				
3866151.134	ביצרון				
3866152.66	קוממיות				
3866619.737	רווחה				
3866707.458	אורות				
3866853.154	יבנה				
3867014.222					
3867178.21	משגב דב				
3867207.914	שובל				
3867290.628	נווה מבטח				
3867436.719	שדמה				
3867632.284	אביגדור				
3867680.255	אלומה				
3867910.622	זרחיה				
3867941.572	קריית מלאכי				
3868049.972	עשרת				
3868133.157	איתן				
3868242.543	בת ים				
3868243.125	כפר הנגיד				
3868596.409	בניה				
3868799.028	מישר				
3868923.201	ניר בנים				
3868938.938	כפר מרדכי				
3869015.23	רהט				
3869072.295	כפר אחים				
3869490.493	"בני עי""ש"				
3869493.577	זבדיאל				
3869502.672	תימורים				
3869533.498					
3869602.988	בית קמה				
3869612.732	בית גמליאל				
3869700.64	תלמי יחיאל				
3869800.463	אבן שמואל				
3869933.501	עוזה				
3870153.833	גאליה				
3870316.499	שלווה				
3870393.81	עיינות				
3870451.668	אחווה				
3870569.849	בית עובד				
3870577.697	חצב				
3870619.683	אחוזם				
3870813.958	טללים				
3870817.7	ערוגות				
3870877.451	בית חנן				
3870887.068	נטעים				
3871066.788	קריית גת				
3871244.431	קדמה				
3871355.194	מנוחה				
3871394.183	תל אביב -יפו				
3871636.331	גדרה				
3871699.218	סגולה				
3871876.025	ורדון				
3871920.699	ינון				
3872064.154	חולון				
3872363.076	משאבי שדה				
3872405.294	באר שבע				
3872542.338	ראשון לציון				
3872618.779	נועם				
3872906.982	בני ראם				
3873036.686	"כפר הרי""ף"				
3873217.493	שדה בוקר				
3873308.058					
3873346.966	נחלה				
3873420.946	גת (קיבוץ)				
3873463.24	קדרון				
3873671.699	חפץ חיים				
3873726.744	גן שלמה				
3873912.062	גיבתון				
3874053.638	גבעת ברנר				
3874151.729	מצפה רמון				
3874166.747	נס ציונה				
3874280.46	בית אלעזרי				
3874355.386	אל -עזי				
3874801.732	אזור				
3874882.457	שדה משה				
3875011.293	רחובות				
3875078.907	גבעתיים				
3875229.486	בית חלקיה				
3875479.382	להבים				
